year;source;multiplication_rate
2000.0;1.0;190.41176470588235
2001.0;1.0;106.70588235294117
2000.0;2.0;265.2352941176471
2001.0;2.0;107.0
2000.0;3.0;242.47058823529412
2001.0;3.0;89.70588235294117
