date;sample;treatment;complex;density;sev_spo;sev_chlo;sev_nec
4;3;2;0;17.677643;0.05372617;0.08492201;0
4;4a;2;0;17.555556;0.077777778;0.102222222;0
4;4b;2;0;12.185687;0.00967118;0.056092843;0
4;5a;2;0;32.008368;0.182008368;0.089958159;0
4;5b;2;0;19.542254;0.070422535;0.045774648;0
4;6a;2;0;39.956803;0.184549356;0.113733906;0.006437768
4;6b;2;0;21.428571;0.088768116;0.047101449;0.010869565
4;7;2;0;9.278351;0.043298969;0.043298969;0
4;8;2;0;20.08547;0.123931624;0.085470085;0
4;9a;2;0;97.987928;0.4055666;0.37972167;0.011928429
4;9b;2;0;28.621908;0.121908127;0.097173145;0
4;10;2;0;13.303769;0.079822616;0.046563193;0
4;11;2;0;101.388889;0.414351852;0.189814815;0
4;12a;2;0;15.754923;0.085339168;0.04595186;0
4;12b;2;0;7.815631;0.018036072;0.066132265;0
4;13a;2;0;15.109344;0.071570577;0.07554672;0
4;13b;2;0;11.154599;0.048923679;0.054794521;0
4;14;2;0;32.5;0.140384615;0.136538462;0
4;15a;2;0;55;0.233954451;0.173913043;0.00621118
4;15b;2;0;39.788732;0.11971831;0.154929577;0
4;19a;1;0;7.407407;0.027290448;0.035087719;0
4;19b;1;0;3.909465;;;
4;20a;1;0;2.826087;;;
4;20b;1;0;5.598456;;;
4;21;1;0;14.62963;0.061111111;0.02037037;0
4;22a;1;0;20.366599;0.097759674;0.126272912;0
4;22b;1;0;23.69338;0.099303136;0.163763066;0
4;23a;1;0;10.816327;0.048979592;0.016326531;0
4;23b;1;0;10.204082;0.033395176;0.031539889;0
4;24a;1;0;16.181818;0.063636364;0.032727273;0
4;24b;1;0;4.752066;0.008264463;0.039256198;0
4;25;1;0;11.401869;0.035514019;0.031775701;0
4;26;1;0;6.355932;0.031779661;0.036016949;0
4;27a;1;0;59.465021;0.211934156;0.139917695;0
4;27b;1;0;27.115717;0.082901554;0.146804836;0
4;28;1;0;8.536585;0.044715447;0.030487805;0
4;29;1;0;51.633987;0.250544662;0.002178649;0
4;30;1;0;27.158273;0.098920863;0.106115108;0
4;31;1;0;22.290389;;;
4;32a;1;0;34.682081;0.183044316;0.052023121;0
4;32b;1;0;25.524476;0.092657343;0.13986014;0
4;33a;1;0;7.358491;0.033962264;0.028301887;0
4;33b;1;0;7.899461;0.034111311;0.035906643;0
4;34a;1;0;15.217391;0.076086957;0.069875776;0
4;34b;1;0;11.413043;0.047101449;0.054347826;0
4;35a;1;0;27.978339;0.129963899;0.099277978;0
4;35b;1;0;26.375712;0.119544592;0.10056926;0
4;35c;1;0;28.971963;0.112149533;0.102803738;0
4;36;1;1;7.654321;0.028625954;0.038167939;0.227099237
4;37;1;1;0;;;0.584450402
4;38;1;1;8.656036;0.031890661;0.01594533;0
4;39;1;1;6.05428;0.03950104;0.031185031;0.004158004
4;40;1;1;18.62069;0.039893617;;0.228723404
4;41a;1;1;14.285714;0.07032967;0.026373626;0
4;41b;1;1;18.711019;0.0997921;0.143451143;0
4;42a;1;1;2.97619;0.007211538;;0.596153846
