date;density;area
4;1.65414;0.00180282
4;4.51128;0.00225352
4;5.71429;0.00288451
4;6.16541;0.00306479
4;4.81203;0.00360563
4;5.56391;0.00392113
4;7.06767;0.00225352
4;9.62406;0.00270423
4;6.01504;0.00225352
4;7.96992;0.00193803
4;8.87218;0.00292958
4;9.17293;0.00333521
4;9.17293;0.00405634
4;9.47368;0.00360563
4;10.6767;0.00292958
4;11.2782;0.0032
4;12.9323;0.0027493
4;13.2331;0.00247887
4;15.3383;0.00324507
4;16.2406;0.00315493
4;15.4887;0.00369577
4;17.1429;0.00315493
4;18.6466;0.00270423
4;16.9925;0.00369577
4;17.7444;0.00383099
4;19.2481;0.00329014
4;21.3534;0.00338028
4;24.2105;0.00297465
4;24.6617;0.00401127
4;26.1654;0.00342535
4;29.4737;0.00234366
4;33.3835;0.00405634
4;38.3459;0.00338028
9;1.90528;0.00452199
9;2.19463;0.00551668
9;4.61311;0.00524823
9;4.14775;0.00624206
9;5.65659;0.00628897
9;5.22655;0.00448055
9;5.98867;0.00389383
9;7.03272;0.00488937
9;6.72173;0.0056122
9;7.6268;0.00565842
9;8.71244;0.00335452
9;10.5277;0.00304019
9;9.76561;0.00362691
9;9.60613;0.0043047
9;9.7491;0.00493764
9;6.70008;0.00732971
9;8.50739;0.00764814
9;9.27861;0.00633826
9;12.5697;0.00869229
9;10.9469;0.00570737
9;11.5484;0.00588884
9;12.9097;0.00566439
9;14.1025;0.00684089
9;15.3043;0.00729423
9;16.2105;0.00725006
9;15.924;0.00602938
9;16.3785;0.0058943
9;16.6833;0.00566865
9;17.5884;0.00571487
9;16.1;0.00404085
9;17.9142;0.00381691
9;20.0251;0.00400009
9;21.2047;0.00621614
9;24.3613;0.00725927
9;24.3984;0.00432142
9;25.9169;0.00359996
9;29.3823;0.00410106
9;33.3136;0.00356312
9;38.1443;0.00352338
11;1.50943;0.00885393
11;1.81132;0.00705618
11;2.26415;0.0061573
11;4.37736;0.00795506
11;5.28302;0.00764045
11;6.03774;0.00710112
