date;density;area
11;6.03774;0.0061573
11;6.79245;0.0065618
11;7.54717;0.00705618
11;8.30189;0.00764045
11;8.90566;0.00714607
11;9.35849;0.00683146
11;8.45283;0.00651685
11;9.81132;0.00701124
11;10.717;0.00741573
11;6.9434;0.00498876
11;6.9434;0.00561798
11;9.35849;0.00552809
11;10.8679;0.00557303
11;10.2642;0.00377528
11;10.2642;0.00426966
11;10.8679;0.00355056
11;11.3208;0.00629214
11;14.0377;0.00633708
11;15.8491;0.00557303
11;16.6038;0.00530337
11;16;0.00391011
11;16.6038;0.00341573
11;17.8113;0.00346067
11;17.2075;0.00382022
11;18.1132;0.00435955
11;19.4717;0.00404494
11;25.9623;0.00296629
11;33.3585;0.00296629
11;37.8868;0.00408989
11;41.5094;0.00440449
16;4.17372;0.0150076
16;2.23017;0.0140989
16;4.20312;0.0126507
16;5.55818;0.0125163
16;1.82936;0.0100644
16;2.021;0.00675585
16;5.16133;0.00816452
16;5.60453;0.00879958
16;5.89341;0.00975175
16;5.43664;0.0102045
16;6.76004;0.0126083
16;5.87023;0.0116101
16;6.777;0.0112485
16;9.61771;0.0125662
16;8.73921;0.0106615
16;7.99469;0.0100714
16;8.60353;0.00948287
16;9.50125;0.00984649
16;10.6935;0.010709
16;15.3506;0.0110769
16;9.97103;0.00835127
16;9.37745;0.00771604
16;9.83309;0.00735394
16;10.4295;0.00776255
16;12.2317;0.0079459
16;14.1866;0.00794811
16;16.4348;0.0085399
16;17.9397;0.00845095
16;16.7486;0.00749776
16;12.6953;0.00694925
16;15.5529;0.00690717
16;16.9097;0.00663675
16;17.2138;0.00636514
16;17.8329;0.00496073
16;19.1738;0.00595942
16;21.2756;0.00623376
16;24.1531;0.00460529
16;29.4015;0.00578971
16;33.6442;0.00321094
16;37.8439;0.00407689
21;2.25564;0.0239604
21;4.51128;0.0205941
21;5.41353;0.020099
21;1.95489;0.0137624
21;1.65414;0.00831683
21;4.51128;0.0168317
21;5.26316;0.0162376
21;5.71429;0.0160396
21;4.96241;0.0141584
21;6.31579;0.0124752
21;5.41353;0.0112871
21;7.36842;0.0108911
21;6.76692;0.0137624
21;6.76692;0.0144554
21;7.5188;0.0150495
21;9.62406;0.0156436
21;8.87218;0.0149505
21;9.92481;0.0168317
21;10.6767;0.0146535
21;8.1203;0.0129703
21;9.47368;0.0132673
21;8.7218;0.0125743
21;9.47368;0.010396
21;10.2256;0.0112871
21;11.5789;0.00990099
21;13.2331;0.0131683
21;14.5865;0.0140594
21;16.6917;0.0126733
21;14.2857;0.0108911
21;13.2331;0.00930693
21;15.9398;0.010099
21;15.4887;0.00732673
21;15.9398;0.00594059
21;16.8421;0.00663366
21;18.3459;0.00643564
21;17.7444;0.00465347
21;19.3985;0.00782178
21;21.0526;0.00475248
21;23.609;0.00712871
21;24.5113;0.00782178
21;26.1654;0.00366337
21;28.8722;0.00584158
21;33.6842;0.00851485
21;37.7444;0.00485149
21;41.6541;0.00435644
28;5.05875;0.0303243
28;6.87999;0.0223904
28;1.81554;0.0197149
28;1.62916;0.0163967
28;5.99907;0.0185507
28;5.70576;0.017184
28;7.19606;0.017772
28;8.58315;0.0193356
28;9.59599;0.0146532
28;9.10318;0.0134163
28;12.985;0.0130973
28;11.8989;0.0108837
28;15.6607;0.0159642
28;14.2003;0.00750452
28;16.9794;0.0093306
28;18.6697;0.00965863
28;4.34714;0.0342915
28;2.06875;0.0316205
28;5.3684;0.0273972
28;7.45868;0.0272055
28;8.05718;0.0268161
28;4.57907;0.0256395
28;5.88992;0.0210877
28;8.88958;0.0172543
28;9.87321;0.0202484
28;12.7617;0.0194725
28;16.872;0.0114122
28;15.3867;0.00952318
28;21.4818;0.00283234
28;24.4606;0.00446358
28;24.4463;0.0082368
28;29.4271;0.00674861
28;5.50552;0.017509
28;10.0772;0.0189476
28;9.79153;0.0155643
28;11.1925;0.0134848
28;9.22372;0.00788676
28;15.9884;0.0082881
28;17.9945;0.00406273
28;19.8642;0.00953046
28;26.0536;0.00420595
28;33.9148;0.00408862
28;38.1053;0.00110287
28;41.7732;0.00468691
36;1.90794;0.0345601
36;4.08666;0.0216939
36;5.45303;0.01942
36;7.54583;0.0216034
36;7.40563;0.0198208
36;2.63041;0.0133732
36;1.87458;0.0140644
36;5.62262;0.0160539
36;6.23034;0.0149663
36;9.67593;0.0172521
36;4.7413;0.0123883
36;5.64015;0.0129846
36;6.23543;0.0140752
36;6.84088;0.0133836
36;8.94215;0.0140819
36;9.4125;0.0107167
36;8.81892;0.00932901
36;8.67193;0.00873457
36;10.1711;0.00953038
36;11.0762;0.00903756
36;6.88554;0.00556175
36;8.534;0.00655595
36;9.88227;0.0074504
36;10.1988;0.00467883
36;11.4035;0.00438478
36;11.3968;0.00557291
36;12.4432;0.00666464
36;12.8999;0.00567565
36;15.5925;0.00815762
36;16.7933;0.00855665
36;16.3557;0.00617926
36;15.61;0.00508828
36;15.9148;0.00439595
36;15.6264;0.00221696
36;18.3077;0.00667916
36;17.2811;0.00212204
36;17.7255;0.00331129
36;19.535;0.00242466
36;21.3469;0.00114198
36;23.893;0.00293051
36;24.646;0.00273434
36;26.1571;0.00145092
36;29.614;0.00175652
36;33.3734;0.00176582
36;37.5912;0.0004891
36;41.8034;0.000202489
43;1.95489;0.0342295
43;1.50376;0.0119016
43;4.51128;0.00688525
43;5.11278;0.0064918
43;6.46617;0.00590164
43;5.86466;0.00413115
43;5.71429;0.000885246
43;7.36842;0.00462295
43;8.42105;0.00590164
43;10.0752;0.00727869
43;9.77444;0.00472131
43;6.76692;0
43;8.27068;0.000688525
43;10.2256;0.00177049
43;10.5263;0.000295082
43;11.4286;0.000590164
43;12.4812;0.0032459
43;15.9398;0.00629508
43;16.391;0.00354098
43;13.2331;0.000590164
43;14.7368;0.000590164
43;15.7895;0.000393443
43;16.8421;0.000295082
43;18.0451;0.000295082
43;18.6466;0.000590164
43;19.5489;0.000590164
43;21.5038;0.000393443
43;24.3609;0.000491803
43;26.015;0.000295082
43;29.1729;0.000295082
43;33.5338;0.000295082
43;38.0451;0.000196721
43;41.3534;0.000196721
