nature;date;treatment;density;area
spo;21;N0;5.45371;0.0963634
spo;21;N0;7.74886;0.0904658
spo;21;N0;9.6864;0.11123
spo;21;N0;8.44747;0.131956
spo;21;N0;13.9149;0.149801
spo;21;N0;16.9064;0.198727
spo;21;N0;12.1445;0.182372
spo;21;N0;12.8478;0.197195
spo;21;N0;13.7281;0.209058
spo;21;N0;18.8452;0.212084
spo;21;N0;18.8403;0.240232
spo;21;N0;21.84;0.241751
spo;21;N0;20.9615;0.219518
spo;21;N0;23.7864;0.212145
spo;21;N0;29.4389;0.181104
spo;21;N0;34.9053;0.204875
spo;21;N0;31.7218;0.244836
spo;21;N0;33.2947;0.332262
spo;21;N1;4.58018;0.0459824
spo;21;N1;5.10829;0.0533963
spo;21;N1;2.98961;0.059296
spo;21;N1;5.62603;0.120069
spo;21;N1;11.0953;0.127544
spo;21;N1;7.91573;0.145283
spo;21;N1;11.2668;0.155694
spo;21;N1;8.26192;0.183805
spo;21;N1;10.201;0.195681
spo;21;N1;14.2523;0.238694
spo;21;N1;16.3676;0.252053
spo;21;N1;17.0701;0.271321
spo;21;N1;20.4189;0.295066
spo;21;N1;22.1826;0.301014
spo;21;N1;24.8275;0.312898
spo;21;N1;25.904;0.212171
spo;21;N1;30.3176;0.201855
spo;21;N1;30.3176;0.201855
spo;21;N1;27.3085;0.25367
spo;21;N1;28.1838;0.293681
spo;21;N1;29.238;0.32036
spo;21;N1;35.9511;0.278962
spo;21;N1;53.0441;0.419913
spo;21;N1;61.1872;0.274829
spo;21;N2;7.93234;0.0504682
spo;21;N2;13.0445;0.0816423
spo;21;N2;11.2661;0.160139
spo;21;N2;15.8494;0.188343
spo;21;N2;13.0168;0.24016
spo;21;N2;14.7794;0.252034
spo;21;N2;19.7185;0.263947
spo;21;N2;21.492;0.213598
spo;21;N2;17.4124;0.332066
spo;21;N2;19.8788;0.3558
spo;21;N2;29.0608;0.324803
spo;21;N2;33.1224;0.308556
spo;21;N2;32.6036;0.247809
spo;21;N2;40.0263;0.185679
spo;21;N2;41.77;0.3057
spo;21;N2;55.879;0.354763
spo;21;N2;99.4724;0.325672
spo;21;N2;103.18;0.31831
spo;28;N0;2.10835;0.0784024
spo;28;N0;4.39239;0.119822
spo;28;N0;6.14934;0.112426
spo;28;N0;6.67643;0.143491
spo;28;N0;7.9063;0.177515
spo;28;N0;6.32504;0.207101
spo;28;N0;11.5959;0.239645
spo;28;N0;10.1903;0.22929
spo;28;N0;12.8258;0.236686
spo;28;N0;14.7584;0.16716
spo;28;N0;15.8126;0.189349
spo;28;N0;20.0293;0.189349
spo;28;N0;22.1376;0.251479
spo;28;N0;30.0439;0.22929
spo;28;N0;33.7335;0.35355
spo;28;N0;31.4495;0.397929
spo;28;N1;1.22987;0.045858
spo;28;N1;2.45974;0.0325444
spo;28;N1;4.74378;0.0636095
spo;28;N1;5.79795;0.0710059
spo;28;N1;5.44656;0.091716
spo;28;N1;7.20351;0.0902367
spo;28;N1;3.8653;0.10355
spo;28;N1;8.25769;0.131657
spo;28;N1;9.66325;0.130178
spo;28;N1;14.9341;0.136095
spo;28;N1;18.6237;0.143491
spo;28;N1;28.4627;0.170118
spo;28;N1;15.6369;0.257396
spo;28;N1;21.0835;0.224852
spo;28;N1;26.3543;0.215976
spo;28;N1;59.0337;0.238166
spo;28;N1;50.9517;0.340237
spo;28;N2;7.20351;0.0162722
spo;28;N2;8.25769;0.0414201
spo;28;N2;9.66325;0.0739645
spo;28;N2;13.7042;0.0754438
spo;28;N2;14.7584;0.0443787
spo;28;N2;19.8536;0.0798817
spo;28;N2;19.1508;0.118343
spo;28;N2;17.2182;0.251479
spo;28;N2;32.5037;0.210059
spo;28;N2;40.7613;0.0813609
spo;28;N2;54.817;0.10503
spo;28;N2;98.7409;0.173077
spo;28;N2;101.728;0.0340237
spo;36;N0;0;0
spo;36;N0;3.85809;0.0415292
spo;36;N0;5.78791;0.0578494
spo;36;N0;4.20331;0.0770891
spo;36;N0;7.54331;0.0667599
spo;36;N0;9.12122;0.0860387
spo;36;N0;7.18652;0.0978667
spo;36;N0;7.88081;0.146764
spo;36;N0;11.743;0.16459
spo;36;N0;13.1463;0.17794
spo;36;N0;14.9071;0.15574
spo;36;N0;14.2092;0.127583
spo;36;N0;16.4901;0.145389
spo;36;N0;16.4986;0.0965002
spo;36;N0;19.6647;0.0757985
spo;36;N0;23.1719;0.11436
spo;36;N0;22.6418;0.132132
spo;36;N0;19.1037;0.271348
spo;36;N0;31.4165;0.190018
spo;36;N0;34.9397;0.136728
spo;36;N0;32.8406;0.0833686
spo;36;N1;2.27786;0.0355838
spo;36;N1;5.96797;0.0326663
spo;36;N1;4.03173;0.0533832
spo;36;N1;8.60057;0.0489952
spo;36;N1;6.12206;0.157113
spo;36;N1;8.94064;0.114185
spo;36;N1;10.8658;0.157172
spo;36;N1;11.4019;0.105326
spo;36;N1;11.7654;0.0357009
spo;36;N1;15.0951;0.084631
spo;36;N1;16.8464;0.117245
spo;36;N1;21.0736;0.0565566
spo;36;N1;22.8144;0.149912
spo;36;N1;27.3891;0.111449
spo;36;N1;28.0996;0.0670137
spo;36;N1;28.4557;0.0403514
spo;36;N1;51.9872;0.107309
spo;36;N1;60.9523;0.0807527
spo;36;N2;8.0776;0.025285
spo;36;N2;12.1196;0.0194089
spo;36;N2;10.8849;0.0475419
spo;36;N2;15.4529;0.0475983
spo;36;N2;14.0397;0.0920254
spo;36;N2;18.0827;0.0802234
spo;36;N2;20.198;0.0402494
spo;36;N2;21.4248;0.0580424
spo;36;N2;32.1494;0.0166932
spo;36;N2;33.0186;0.0700374
spo;36;N2;40.2234;0.0627189
spo;36;N2;56.217;0.0318052
spo;36;N2;99.6117;0.0441928
spo;36;N2;104.009;0.0131359
chlo;11;N0;0;0
chlo;11;N0;3.68572;0.00432145
chlo;11;N0;4.57009;0.0248881
chlo;11;N0;7.2001;0.0204118
chlo;11;N0;7.38375;0.0439369
chlo;11;N0;6.87385;0.0910084
chlo;11;N0;9.32946;0.0894776
chlo;11;N0;12.4889;0.0938119
chlo;11;N0;13.5389;0.0864332
chlo;11;N0;16.8661;0.0687046
chlo;11;N0;16.3469;0.0893056
chlo;11;N0;13.9006;0.117307
chlo;11;N0;15.4775;0.111386
chlo;11;N0;18.2829;0.106905
chlo;11;N0;18.2901;0.127493
chlo;11;N0;20.5667;0.115673
chlo;11;N0;22.499;0.122978
chlo;11;N0;32.1404;0.100683
chlo;11;N0;31.4458;0.121289
chlo;11;N0;21.9876;0.165638
chlo;11;N0;28.3054;0.171366
chlo;11;N0;34.8309;0.269736
chlo;11;N1;1.76155;0.0205451
chlo;11;N1;6.66917;0.00718951
chlo;11;N1;5.98333;0.0527948
chlo;11;N1;8.26606;0.0586212
chlo;11;N1;9.84654;0.0629942
chlo;11;N1;11.4275;0.0688379
chlo;11;N1;10.5401;0.0394477
chlo;11;N1;10.9284;0.146792
chlo;11;N1;14.0657;0.0878909
chlo;11;N1;17.0466;0.0834061
chlo;11;N1;19.6628;0.0392241
chlo;11;N1;26.8578;0.0449301
chlo;11;N1;27.9176;0.0654925
chlo;11;N1;27.9263;0.0904924
chlo;11;N1;26.5336;0.121409
chlo;11;N1;28.9923;0.128702
chlo;11;N1;34.7637;0.0770895
chlo;11;N1;23.7558;0.205301
chlo;11;N1;25.1691;0.233208
chlo;11;N1;51.2794;0.147273
chlo;11;N1;59.8933;0.197062
chlo;11;N2;14.0478;0.0364206
chlo;11;N2;15.6334;0.0554994
chlo;11;N2;17.7412;0.0628007
chlo;11;N2;8.28094;0.101268
chlo;11;N2;11.2634;0.101195
chlo;11;N2;19.1709;0.137766
chlo;11;N2;21.0899;0.106836
chlo;11;N2;40.211;0.101956
chlo;11;N2;31.9824;0.150687
chlo;11;N2;28.3121;0.190483
chlo;11;N2;31.6469;0.194813
chlo;11;N2;39.5467;0.209326
chlo;11;N2;55.0688;0.448652
chlo;11;N2;98.9388;0.478459
chlo;11;N2;102.765;0.382777
chlo;16;N0;4.56858;0.0412418
chlo;16;N0;3.34307;0.0560061
chlo;16;N0;7.02728;0.0559608
chlo;16;N0;7.20887;0.0913568
chlo;16;N0;4.92971;0.100234
chlo;16;N0;6.51635;0.144463
chlo;16;N0;9.32387;0.147378
chlo;16;N0;16.5017;0.0602692
chlo;16;N0;15.6327;0.107477
chlo;16;N0;12.4769;0.119316
chlo;16;N0;13.5334;0.141427
chlo;16;N0;13.3643;0.178302
chlo;16;N0;17.7472;0.160549
chlo;16;N0;18.6288;0.185612
chlo;16;N0;16.5284;0.213661
chlo;16;N0;20.7394;0.216559
chlo;16;N0;22.6718;0.231285
chlo;16;N0;32.8426;0.204611
chlo;16;N0;23.0134;0.178183
chlo;16;N0;31.6274;0.278372
chlo;16;N0;29.0009;0.307903
chlo;16;N0;34.6216;0.346182
chlo;16;N1;1.93675;0.0397992
chlo;16;N1;2.81932;0.0707618
chlo;16;N1;4.92484;0.0722109
chlo;16;N1;5.98414;0.110546
chlo;16;N1;5.9867;0.125295
chlo;16;N1;8.96889;0.123784
chlo;16;N1;9.32849;0.173927
chlo;16;N1;10.9079;0.176857
chlo;16;N1;14.9361;0.136985
chlo;16;N1;16.5184;0.156139
chlo;16;N1;21.7902;0.206222
chlo;16;N1;20.3955;0.256386
chlo;16;N1;16.0108;0.263815
chlo;16;N1;23.0368;0.312401
chlo;16;N1;25.4819;0.248949
chlo;16;N1;27.4076;0.225327
chlo;16;N1;28.6405;0.253335
chlo;16;N1;28.1219;0.297589
chlo;16;N1;26.8974;0.318253
chlo;16;N1;26.3768;0.350708
chlo;16;N1;34.7901;0.306357
chlo;16;N1;51.3018;0.424148
chlo;16;N1;61.657;0.449095
chlo;16;N2;9.30772;0.0544579
chlo;16;N2;11.7641;0.0559026
chlo;16;N2;19.6547;0.0322068
chlo;16;N2;31.9421;0.0704039
chlo;16;N2;13.8763;0.0956997
chlo;16;N2;10.5509;0.141463
chlo;16;N2;8.44874;0.159188
chlo;16;N2;18.7963;0.139887
chlo;16;N2;17.3912;0.131055
chlo;16;N2;20.7294;0.159037
chlo;16;N2;15.3244;0.352319
chlo;16;N2;29.3428;0.256277
chlo;16;N2;40.0563;0.323991
chlo;16;N2;32.6956;0.36833
chlo;16;N2;40.4241;0.421332
chlo;16;N2;54.8273;0.519975
chlo;16;N2;99.0539;0.612352
chlo;16;N2;102.536;0.461867
chlo;16;N2;102.536;0.461867
chlo;21;N0;2.64594;0.0826853
chlo;21;N0;4.04662;0.0664199
chlo;21;N0;7.21092;0.103309
chlo;21;N0;4.23155;0.121071
chlo;21;N0;7.03984;0.128421
chlo;21;N0;6.34271;0.155018
chlo;21;N0;11.6048;0.149045
chlo;21;N0;16.3411;0.146032
chlo;21;N0;15.1146;0.15491
chlo;21;N0;12.6649;0.191868
chlo;21;N0;12.6677;0.208116
chlo;21;N0;8.98762;0.231795
chlo;21;N0;15.9995;0.199212
chlo;21;N0;18.2815;0.20657
chlo;21;N0;20.2054;0.172573
chlo;21;N0;21.9667;0.212433
chlo;21;N0;17.9393;0.256795
chlo;21;N0;20.9492;0.414809
chlo;21;N0;28.4972;0.438349
chlo;21;N0;30.7527;0.293565
chlo;21;N0;31.4473;0.252198
chlo;21;N0;33.917;0.330454
chlo;21;N1;1.75643;0.0117952
chlo;21;N1;6.49865;0.042756
chlo;21;N1;10.7128;0.0633836
chlo;21;N1;7.20707;0.0811521
chlo;21;N1;4.05149;0.0944848
chlo;21;N1;15.6286;0.0840026
chlo;21;N1;14.0515;0.0943617
chlo;21;N1;8.96633;0.109195
chlo;21;N1;9.49803;0.140208
chlo;21;N1;13.3582;0.143115
chlo;21;N1;20.1972;0.125305
chlo;21;N1;10.9123;0.202229
chlo;21;N1;20.7351;0.191768
chlo;21;N1;28.2753;0.170996
chlo;21;N1;23.3705;0.213893
chlo;21;N1;26.8808;0.222712
chlo;21;N1;51.4349;0.181051
chlo;21;N1;26.3627;0.269986
chlo;21;N1;24.6144;0.305458
chlo;21;N1;26.5422;0.293617
chlo;21;N1;28.4759;0.31575
chlo;21;N1;34.965;0.303853
chlo;21;N1;60.2376;0.358195
chlo;21;N2;17.0242;0.0381952
chlo;21;N2;17.0303;0.0736456
chlo;21;N2;13.528;0.110616
chlo;21;N2;11.0736;0.120986
chlo;21;N2;9.33208;0.194863
chlo;21;N2;11.6092;0.174155
chlo;21;N2;14.7678;0.178548
chlo;21;N2;17.7431;0.137152
chlo;21;N2;19.8486;0.138604
chlo;21;N2;21.0834;0.176993
chlo;21;N2;27.4002;0.182824
chlo;21;N2;15.1349;0.271601
chlo;21;N2;38.6321;0.204842
chlo;21;N2;32.6779;0.266954
chlo;21;N2;31.9826;0.30389
chlo;21;N2;39.004;0.32596
chlo;21;N2;54.6298;0.393715
chlo;21;N2;98.8235;0.297159
chlo;21;N2;102.709;0.446299
chlo;28;N0;4.37698;0.0518293
chlo;28;N0;6.65511;0.0666504
chlo;28;N0;2.08294;0.128724
chlo;28;N0;6.11931;0.121378
chlo;28;N0;6.29731;0.106587
chlo;28;N0;8.7614;0.0607592
chlo;28;N0;13.3266;0.038626
chlo;28;N0;11.9159;0.0800289
chlo;28;N0;33.3171;0.0936064
chlo;28;N0;31.3837;0.114293
chlo;28;N0;10.317;0.195394
chlo;28;N0;15.396;0.245753
chlo;28;N0;14.5155;0.264973
chlo;28;N0;20.4819;0.256171
chlo;28;N0;22.9362;0.266556
chlo;28;N0;20.4719;0.313863
chlo;28;N0;30.4839;0.24446
chlo;28;N1;6.66357;0.0178337
chlo;28;N1;3.50312;0.0325877
chlo;28;N1;1.73489;0.112448
chlo;28;N1;4.71477;0.127278
chlo;28;N1;4.70554;0.180532
chlo;28;N1;6.28141;0.198303
chlo;28;N1;9.4416;0.185028
chlo;28;N1;16.1147;0.148128
chlo;28;N1;26.6517;0.0861277
chlo;28;N1;27.1604;0.188205
chlo;28;N1;21.7051;0.284292
chlo;28;N1;9.22897;0.399524
chlo;28;N1;14.4808;0.464678
chlo;28;N1;19.4064;0.387815
chlo;28;N1;50.6334;0.394117
chlo;28;N1;58.8988;0.280313
chlo;28;N2;8.4018;0.111051
chlo;28;N2;8.9317;0.0903472
chlo;28;N2;13.3151;0.105194
chlo;28;N2;12.0865;0.108138
chlo;28;N2;15.0661;0.124447
chlo;28;N2;19.4565;0.0993527
chlo;28;N2;18.5695;0.155555
chlo;28;N2;16.7972;0.259084
chlo;28;N2;39.7942;0.175048
chlo;28;N2;54.867;0.261033
chlo;28;N2;97.8689;0.149136
chlo;28;N2;101.715;0.226107
chlo;36;N0;7.56984;0.0220309
chlo;36;N0;7.7574;0.0884002
chlo;36;N0;3.71926;0.138597
chlo;36;N0;19.1897;0.061711
chlo;36;N0;16.9098;0.104512
chlo;36;N0;22.3713;0.144268
chlo;36;N0;9.70862;0.178347
chlo;36;N0;7.60234;0.207871
chlo;36;N0;12.1771;0.207815
chlo;36;N0;13.0525;0.18273
chlo;36;N0;14.1139;0.215166
chlo;36;N0;15.8664;0.175321
chlo;36;N0;18.8667;0.226907
chlo;36;N0;33.1165;0.213457
chlo;36;N0;34.5311;0.253263
chlo;36;N0;31.8967;0.281319
chlo;36;N0;5.86784;0.35096
chlo;36;N0;23.4649;0.361069
chlo;36;N0;14.1503;0.42313
chlo;36;N0;5.18751;0.485187
chlo;36;N1;6.69291;0.0382658
chlo;36;N1;7.39827;0.0471067
chlo;36;N1;8.63174;0.057416
chlo;36;N1;5.64184;0.0648274
chlo;36;N1;4.58896;0.0810645
chlo;36;N1;4.06549;0.106145
chlo;36;N1;2.3039;0.094367
chlo;36;N1;9.51512;0.0780541
chlo;36;N1;16.5496;0.0573187
chlo;36;N1;28.1615;0.0512763
chlo;36;N1;27.817;0.0940534
chlo;36;N1;28.5237;0.110269
chlo;36;N1;22.896;0.126562
chlo;36;N1;11.1069;0.125232
chlo;36;N1;10.4073;0.14884
chlo;36;N1;16.0463;0.197443
chlo;36;N1;11.1333;0.275674
chlo;36;N1;20.6319;0.259333
chlo;36;N1;52.6377;0.158645
chlo;36;N1;60.5713;0.248518
chlo;36;N2;8.11679;0.131169
chlo;36;N2;10.7514;0.104588
chlo;36;N2;14.4423;0.0809434
chlo;36;N2;13.9206;0.116348
chlo;36;N2;18.4934;0.104492
chlo;36;N2;19.5509;0.114804
chlo;36;N2;17.4431;0.135479
chlo;36;N2;20.2645;0.170842
chlo;36;N2;15.8667;0.176796
chlo;36;N2;11.8231;0.19602
chlo;36;N2;32.5843;0.18839
chlo;36;N2;32.4161;0.23264
chlo;36;N2;41.3811;0.183857
chlo;36;N2;56.3198;0.0848535
chlo;36;N2;99.9566;0.087267
chlo;36;N2;103.646;0.0577231
nec;11;N0;0.00206389;0.00294113
nec;11;N0;2.81618;0.00133256
nec;11;N0;4.7547;0.00564938
nec;11;N0;6.864;0.00260475
nec;11;N0;15.8507;0.0212822
nec;11;N0;10.9118;0.00387694
nec;11;N0;11.6156;0.00384244
nec;11;N0;13.3751;0.00375619
nec;11;N0;16.0143;0.00362681
nec;11;N0;18.8305;0.00495938
nec;11;N0;21.4686;0.00335944
nec;11;N0;23.2281;0.00327319
nec;11;N0;28.6835;0.00447638
nec;11;N0;23.5841;0.00913819
nec;11;N0;32.2035;0.00577444
nec;11;N0;34.8427;0.00564506
nec;11;N1;5.45745;0.00414431
nec;11;N1;25.6914;0.00315244
nec;11;N1;29.7392;0.00442463
nec;11;N1;35.7214;0.00413138
nec;11;N1;51.5566;0.00335513
nec;11;N1;60.1811;0.00734419
nec;11;N2;8.80561;0.0113333
nec;11;N2;20.77;0.0107468
nec;11;N2;39.9462;0.0068655
nec;11;N2;41.5318;0.009729
nec;11;N2;55.6075;0.009039
nec;11;N2;99.0675;0.00837919
nec;11;N2;102.76;0.00525694
nec;16;N0;0.351391;0.00445104
nec;16;N0;2.81113;0.00445104
nec;16;N0;4.91947;0.0207715
nec;16;N0;4.74378;0.00445104
nec;16;N0;6.85212;0.0074184
nec;16;N0;9.48755;0.00890208
nec;16;N0;11.4202;0.00445104
nec;16;N0;11.9473;0.00593472
nec;16;N0;13.8799;0.00593472
nec;16;N0;16.5154;0.0400593
nec;16;N0;17.7452;0.00445104
nec;16;N0;16.164;0.00890208
nec;16;N0;21.7862;0.00593472
nec;16;N0;23.8946;0.00593472
nec;16;N0;28.287;0.00445104
nec;16;N0;32.5037;0.00593472
nec;16;N0;34.7877;0.00593472
nec;16;N1;9.48755;0.00445104
nec;16;N1;25.8272;0.00445104
nec;16;N1;52.0059;0.0074184
nec;16;N1;60.2635;0.0103858
nec;16;N1;2.28404;0.0074184
nec;16;N1;35.4905;0.0103858
nec;16;N2;7.20351;0.0118694
nec;16;N2;11.7716;0.0237389
nec;16;N2;14.0556;0.0103858
nec;16;N2;19.6779;0.0163205
nec;16;N2;31.8009;0.0103858
nec;16;N2;39.5315;0.0074184
nec;16;N2;40.7613;0.0222552
nec;16;N2;55.3441;0.00445104
nec;16;N2;99.2679;0.120178
nec;16;N2;102.606;0.00593472
nec;21;N0;0.353198;0.00442698
nec;21;N0;2.99714;0.00882576
nec;21;N0;4.93469;0.00437058
nec;21;N0;4.58718;0.0324399
nec;21;N0;7.58044;0.0191091
nec;21;N0;7.22543;0.00434238
nec;21;N0;8.99168;0.0279544
nec;21;N0;18.3272;0.00715995
nec;21;N0;12.6898;0.0146149
nec;21;N0;12.8644;0.00575008
nec;21;N0;16.0388;0.0204821
nec;21;N0;19.0352;0.0248765
nec;21;N0;21.8517;0.00859367
nec;21;N0;23.265;0.0292558
nec;21;N0;28.3749;0.0277158
nec;21;N0;30.1331;0.00553752
nec;21;N0;32.4239;0.00550932
nec;21;N0;35.4244;0.0335374
nec;21;N1;3.17232;0.00291517
nec;21;N1;9.69239;0.00431202
nec;21;N1;17.2697;0.00569586
nec;21;N1;19.7369;0.00714259
nec;21;N1;22.5561;0.00563078
nec;21;N1;25.199;0.00412114
nec;21;N1;26.434;0.0129686
nec;21;N1;27.4905;0.00852426
nec;21;N1;28.1961;0.0129469
nec;21;N1;29.6107;0.0409945
nec;21;N1;34.7216;0.045363
nec;21;N1;51.4549;0.00675217
nec;21;N1;60.6327;0.0908344
nec;21;N2;15.8603;0.00719031
nec;21;N2;20.2679;0.02043
nec;21;N2;28.0264;0.0498767
nec;21;N2;31.7247;0.0380143
nec;21;N2;32.9528;0.00697992
nec;21;N2;38.7809;0.0822407
nec;21;N2;40.8887;0.0438099
nec;21;N2;54.8086;0.0392073
nec;21;N2;99.0795;0.277954
nec;21;N2;103.114;0.171552
nec;28;N0;2.2748;0.00746361
nec;28;N0;6.83001;0.00609459
nec;28;N0;6.82183;0.0297982
nec;28;N0;4.70943;0.0593758
nec;28;N0;7.5113;0.0624079
nec;28;N0;11.5461;0.0462112
nec;28;N0;15.9328;0.0255787
nec;28;N0;21.1841;0.0375603
nec;28;N0;16.2647;0.0789204
nec;28;N0;12.9189;0.129208
nec;28;N0;8.0082;0.145384
nec;28;N0;12.0236;0.185483
nec;28;N0;20.8107;0.104218
nec;28;N0;21.679;0.126462
nec;28;N0;30.749;0.24076
nec;28;N0;30.7316;0.29113
nec;28;N0;33.3353;0.360825
nec;28;N1;1.56128;0.0444832
nec;28;N1;5.24367;0.0342037
nec;28;N1;5.07871;0.00456986
nec;28;N1;10.5017;0.0269261
nec;28;N1;9.08946;0.0580025
nec;28;N1;14.873;0.0507378
nec;28;N1;19.4308;0.0419614
nec;28;N1;21.3373;0.101268
nec;28;N1;15.3719;0.127788
nec;28;N1;4.4652;0.259371
nec;28;N1;6.19194;0.332006
nec;28;N1;2.83231;0.422294
nec;28;N1;26.3229;0.375466
nec;28;N1;28.4108;0.417
nec;28;N1;50.7897;0.0382913
nec;28;N1;59.6227;0.331844
nec;28;N2;7.8233;0.173527
nec;28;N2;8.34015;0.198725
nec;28;N2;10.0628;0.283213
nec;28;N2;12.8693;0.272911
nec;28;N2;15.6563;0.318906
nec;28;N2;18.114;0.304152
nec;28;N2;14.3994;0.407765
nec;28;N2;18.9469;0.428618
nec;28;N2;31.0503;0.382991
nec;28;N2;39.6075;0.460239
nec;28;N2;54.6547;0.513944
nec;28;N2;97.5219;0.666114
nec;28;N2;101.392;0.618802
nec;28;N2;16.4517;0.0448508
nec;36;N0;0.361709;0.056292
nec;36;N0;4.06626;0.111061
nec;36;N0;5.83533;0.165854
nec;36;N0;7.77959;0.216201
nec;36;N0;7.9607;0.245828
nec;36;N0;14.6508;0.267968
nec;36;N0;12.5409;0.276883
nec;36;N0;9.73338;0.321362
nec;36;N0;14.133;0.325752
nec;36;N0;19.4092;0.312354
nec;36;N0;16.4302;0.38202
nec;36;N0;14.3236;0.410194
nec;36;N0;5.00227;0.434013
nec;36;N0;7.6542;0.506573
nec;36;N0;17.3205;0.44275
nec;36;N0;22.2598;0.515282
nec;36;N0;24.1971;0.525628
nec;36;N0;31.7626;0.522572
nec;36;N0;34.745;0.472165
nec;36;N0;33.0174;0.65589
nec;36;N0;19.3032;0.713837
nec;36;N1;2.99997;0.0503334
nec;36;N1;5.99942;0.0977039
nec;36;N1;3.54434;0.145142
nec;36;N1;6.88538;0.133249
nec;36;N1;7.60183;0.205833
nec;36;N1;11.828;0.22504
nec;36;N1;8.84175;0.253225
nec;36;N1;8.84846;0.291743
nec;36;N1;6.74116;0.315473
nec;36;N1;11.1441;0.339122
nec;36;N1;10.4529;0.411724
nec;36;N1;22.2428;0.417504
nec;36;N1;15.5667;0.475364
nec;36;N1;17.328;0.485713
