nature;date;treatment;density;area
spo;11;N0;0;0
spo;11;N0;2.97961;0.0415184
spo;11;N0;5.08641;0.0504334
spo;11;N0;7.37251;0.0386097
spo;11;N0;7.01623;0.0667536
spo;11;N0;8.77472;0.0578864
spo;11;N0;11.0495;0.111248
spo;11;N0;12.4563;0.103858
spo;11;N0;13.51;0.106834
spo;11;N0;15.4455;0.0905614
spo;11;N0;13.6826;0.124614
spo;11;N0;15.9679;0.117235
spo;11;N0;18.2491;0.133559
spo;11;N0;22.4645;0.141019
spo;11;N0;16.1331;0.177978
spo;11;N0;18.065;0.182446
spo;11;N0;21.0533;0.173594
spo;11;N0;21.7509;0.203232
spo;11;N0;28.601;0.215169
spo;11;N0;30.8868;0.204827
spo;11;N0;33.8747;0.198938
spo;11;N0;31.7553;0.262615
spo;11;N1;2.4569;0.0163267
spo;11;N1;4.91663;0.0163571
spo;11;N1;9.12868;0.0430758
spo;11;N1;7.71695;0.0786141
spo;11;N1;9.47107;0.0949322
spo;11;N1;10.8789;0.0816161
spo;11;N1;11.0487;0.115692
spo;11;N1;14.7337;0.142405
spo;11;N1;18.2435;0.166152
spo;11;N1;21.7607;0.146936
spo;11;N1;26.3296;0.142548
spo;11;N1;23.3376;0.172141
spo;11;N1;26.6745;0.179589
spo;11;N1;29.3115;0.170733
spo;11;N1;35.1089;0.173768
spo;11;N1;51.7855;0.256937
spo;11;N1;59.8539;0.335555
spo;11;N2;11.7623;0.0534788
spo;11;N2;10.7051;0.0712436
spo;11;N2;17.5533;0.0935504
spo;11;N2;14.2071;0.139435
spo;11;N2;20.5352;0.121736
spo;11;N2;20.002;0.157285
spo;11;N2;31.7648;0.2078
spo;11;N2;38.9714;0.190112
spo;11;N2;40.5421;0.250872
spo;11;N2;55.2928;0.295499
spo;11;N2;99.0323;0.344928
spo;11;N2;102.716;0.377566
spo;16;N0;0;0.00148148
spo;16;N0;3.15789;0.0444444
spo;16;N0;5.08772;0.0725926
spo;16;N0;3.68421;0.0874074
spo;16;N0;7.36842;0.077037
spo;16;N0;7.01754;0.0903704
spo;16;N0;6.66667;0.111111
spo;16;N0;9.64912;0.0888889
spo;16;N0;13.3333;0.134815
spo;16;N0;10.8772;0.148148
spo;16;N0;11.5789;0.154074
spo;16;N0;14.5614;0.14963
spo;16;N0;13.5088;0.164444
spo;16;N0;16.1404;0.174815
spo;16;N0;14.2105;0.191111
spo;16;N0;16.6667;0.204444
spo;16;N0;18.5965;0.197037
spo;16;N0;18.5965;0.208889
spo;16;N0;23.1579;0.191111
spo;16;N0;20.5263;0.217778
spo;16;N0;21.7544;0.26963
spo;16;N0;28.2456;0.266667
spo;16;N0;31.2281;0.277037
spo;16;N0;34.0351;0.277037
spo;16;N0;32.2807;0.302222
spo;16;N1;2.2807;0.0266667
spo;16;N1;3.50877;0.0325926
spo;16;N1;5.08772;0.042963
spo;16;N1;5.4386;0.0562963
spo;16;N1;7.7193;0.13037
spo;16;N1;9.47368;0.125926
spo;16;N1;9.47368;0.134815
spo;16;N1;11.2281;0.122963
spo;16;N1;10.3509;0.10963
spo;16;N1;16.3158;0.205926
spo;16;N1;19.8246;0.232593
spo;16;N1;21.7544;0.223704
spo;16;N1;23.8596;0.24
spo;16;N1;25.9649;0.195556
spo;16;N1;25.614;0.219259
spo;16;N1;27.5439;0.214815
spo;16;N1;29.8246;0.226667
spo;16;N1;27.8947;0.238519
spo;16;N1;26.6667;0.254815
spo;16;N1;34.9123;0.262222
spo;16;N1;51.7544;0.288889
spo;16;N1;60.1754;0.315556
spo;16;N2;8.07018;0.0533333
spo;16;N2;11.7544;0.0844444
spo;16;N2;11.7544;0.0962963
spo;16;N2;17.3684;0.0918519
spo;16;N2;15.614;0.122963
spo;16;N2;21.0526;0.134815
spo;16;N2;17.8947;0.173333
spo;16;N2;14.9123;0.222222
spo;16;N2;19.2982;0.202963
spo;16;N2;32.4561;0.231111
spo;16;N2;32.2807;0.257778
spo;16;N2;39.4737;0.201481
spo;16;N2;40;0.168889
spo;16;N2;55.2632;0.303704
spo;16;N2;98.5965;0.145185
spo;16;N2;102.281;0.288889
spo;21;N0;0.175692;0.0044466
spo;21;N0;3.69523;0.0607862
spo;21;N0;3.86833;0.0800476
spo;21;N0;5.45786;0.0726598
