density;surface
0.366752;0.0466992
2.68641;0.0387934
2.68146;0.0352934
2.22751;0.0332945
1.98993;0.0247951
4.18083;0.0321897
5.38129;0.0303867
7.02991;0.0264825
7.55015;0.0221812
9.65978;0.0252759
9.27692;0.0203769
11.1539;0.0184722
14.3829;0.0155641
19.1905;0.0124521
18.8115;0.010253
19.5629;0.00995113
22.417;0.00774399
22.5686;0.00864361
30.7619;0.00712312
34.5206;0.00661372
34.5206;0.00661372
