DOY;jour;mois;annee;Tmoy;Tmin;Tmax;RH;Rhmin;Rhmax;u;P;Rg;Irrigation;Eto_FAO56
1;1;1;2007;8;0;0;74.23954583;0;0;0.646701441;0;1012;0;1.4
2;2;1;2007;8.6;0;0;74.28125;0;0;0.436053276;0;727;0;0.8
3;3;1;2007;7.8;0;0;97.85414583;0;0;0.811342658;2.8;316;0;0.4
4;4;1;2007;10;0;0;76.19789583;0;0;2.190683046;0.6;637;0;1.2
5;5;1;2007;8.3;0;0;39.46875;0;0;2.364294171;0;1081;0;2.4
6;6;1;2007;6.7;0;0;73.94791667;0;0;0.563657453;0;1028;0;1.2
7;7;1;2007;8.5;0;0;78.28125;0;0;0.581886621;0;1061;0;1.4
8;8;1;2007;8.4;0;0;79.01041667;0;0;0.646412089;0;1062;0;1.3
9;9;1;2007;8.2;0;0;83.86457917;0;0;0.525173653;0;1046;0;1.4
10;10;1;2007;5.3;0;0;87.29163333;0;0;0.688657463;0;798;0;0.9
11;11;1;2007;3.1;0;0;67.34375;0;0;0.826678307;0;1079;0;1.3
12;12;1;2007;4.4;0;0;30.16666667;0;0;2.820602078;0;1141;0;2.3
13;13;1;2007;4.5;0;0;34.16666667;0;0;1.180845002;0;1136;0;1.8
14;14;1;2007;2.9;0;0;60.46875;0;0;1.014178322;0;1144;0;1.6
15;15;1;2007;3.8;0;0;57.36458333;0;0;0.81018525;0;1144;0;1.4
16;16;1;2007;3.2;0;0;75.89583333;0;0;0.554108841;0;1043;0;1.2
17;17;1;2007;6.9;0;0;64.07291667;0;0;1.160590371;0;1133;0;1.7
18;18;1;2007;5.8;0;0;66.98958333;0;0;0.638310236;0;1111;0;1.5
19;19;1;2007;6.2;0;0;75.47916667;0;0;0.50000004;0;1019;0;1.3
20;20;1;2007;7.5;0;0;72.57291667;0;0;0.572048657;0;1077;0;1.4
21;21;1;2007;12.7;0;0;21.73958333;0;0;2.161458506;0;1201;0;3.1
22;22;1;2007;9.2;0;0;43.08333333;0;0;0.947916743;0;1219;0;1.9
23;23;1;2007;6.6;0;0;66.89583333;0;0;0.440393554;0;1182;0;1.5
24;24;1;2007;7.1;0;0;65.44791667;0;0;0.533564858;0;1223;0;1.7
25;25;1;2007;5.3;0;0;79.90625;0;0;0.495081058;0;1180;0;1.4
26;26;1;2007;5.3;0;0;92.54163333;0;0;0.432291701;0;705;0;0.8
27;27;1;2007;8.4;0;0;89.562475;0;0;0.451967629;2.6;618;0;0.8
28;28;1;2007;7.5;0;0;83.95832917;0;0;0.477430594;0;600;0;0.9
29;29;1;2007;9.9;0;0;76.38541667;0;0;0.535011617;0;1188;0;1.8
30;30;1;2007;7.1;0;0;87.96875;0;0;0.75925932;0;1126;0;1.4
31;31;1;2007;8.9;0;0;84.65625;0;0;0.625289402;0;970;0;1.2
32;1;2;2007;6.9;0;0;87.63540417;0;0;0.399884291;0;694;0;0.8
33;2;2;2007;8.7;0;0;77.35416667;0;0;0.542245414;0;1195;28;1.7
34;3;2;2007;7.8;0;0;78.48610278;0;0;0.526620413;0;1158;0;1.6
35;4;2;2007;10;0;0;68.11458333;0;0;0.377893549;0;1197;0;1.7
