An	Jour	Jsim	hhmm	PAR	Tair	HR	Vent	Pluie
2005	274	1	100	-0.29	16.15	96.9	3.089	0.2
2005	274	1	200	-0.29	16.05	97.4	3.206	0.6
2005	274	1	300	-0.3	15.88	98.2	3.417	0.8
2005	274	1	400	-0.28	15.92	98	3.273	0
2005	274	1	500	-0.27	15.93	96.9	3.179	0
2005	274	1	600	0.3	15.46	97	4.495	0.4
2005	274	1	700	21.25	13.69	92.1	3.891	0
2005	274	1	800	119.8	13.27	89.5	3.252	0
2005	274	1	900	291.3	13.27	84.3	2.966	0
2005	274	1	1000	613.2	14.23	79.2	3.421	0
2005	274	1	1100	1060	15.39	68.72	4.555	0
2005	274	1	1200	1055	16.21	59.38	4.594	0
2005	274	1	1300	1159	16.91	54.14	5.222	0
2005	274	1	1400	516.4	16.28	54.53	4.643	0
2005	274	1	1500	492.4	15.22	58.93	4.968	0.2
2005	274	1	1600	285.2	13.93	68.35	3.441	0
2005	274	1	1700	71.1	11.61	79.2	2.402	0.4
2005	274	1	1800	13.24	11.67	81.9	2.314	0
2005	274	1	1900	-0.06	11.33	81.2	2.783	0
2005	274	1	2000	-0.04	10.48	84.4	2.061	0
2005	274	1	2100	-0.03	10.16	86	2.967	0
2005	274	1	2200	-0.02	10.34	86.2	3.491	0
2005	274	1	2300	-0.03	10.13	85.6	2.91	0
2005	274	1	2400	-0.02	9.99	85.1	2.736	0
2005	275	2	100	-0.03	9.26	90.5	2.451	0
2005	275	2	200	-0.01	9.16	93.7	2.018	0
2005	275	2	300	-0.01	8.53	93.8	2.07	0
2005	275	2	400	-0.01	8.21	95.7	2.046	0.2
2005	275	2	500	0	7.79	97.1	2.287	0
2005	275	2	600	2.31	7.21	97.8	1.902	0
2005	275	2	700	64.3	7.9	98	1.239	0
2005	275	2	800	272.1	8.83	97.6	2.156	0
2005	275	2	900	335.6	10.66	93.2	3.248	0
2005	275	2	1000	501.2	10.9	92.7	3.33	0
2005	275	2	1100	823	11.94	86.1	3.125	0
2005	275	2	1200	567.1	12.98	74.1	3.721	0
2005	275	2	1300	414.8	12.47	78.7	2.579	3.6
2005	275	2	1400	518	13.33	74.4	2.95	0
2005	275	2	1500	610.4	14.27	64.09	3.617	0
2005	275	2	1600	321.1	13.45	70.8	4.833	0.2
2005	275	2	1700	88.6	11.74	84.7	3.133	0
2005	275	2	1800	10.63	11.67	83	3.498	0
2005	275	2	1900	-0.16	11.29	84.4	2.266	0
2005	275	2	2000	-0.13	11.29	83	3.048	0
2005	275	2	2100	-0.13	11.39	82.7	2.985	0
2005	275	2	2200	-0.13	11.53	81.9	3.177	0
2005	275	2	2300	-0.16	11.31	82.7	2.998	0
2005	275	2	2400	-0.1	10.72	85.1	2.548	0
2005	276	3	100	-0.07	10.37	87	2.489	0
2005	276	3	200	-0.02	10.08	87.5	1.994	0
2005	276	3	300	-0.02	9.51	89.7	0.836	0
2005	276	3	400	-0.01	8.81	95.1	0.832	0
2005	276	3	500	0	8.57	95.6	1.097	0
2005	276	3	600	2.35	8.41	96.6	1.033	0
2005	276	3	700	118.6	8.97	96.1	0.845	0
2005	276	3	800	409.1	10.17	90.7	1.144	0
2005	276	3	900	392.5	11.59	85.6	2.977	0
2005	276	3	1000	537.1	12.11	82.1	2.687	0
2005	276	3	1100	1011	13.7	73.1	3.978	0
2005	276	3	1200	790	14.35	67.26	4.259	0
2005	276	3	1300	878	15.11	60.82	4.369	0
2005	276	3	1400	917	15.74	57.3	4.279	0
2005	276	3	1500	791	15.81	55.87	5.13	0
2005	276	3	1600	512.2	15.71	56.61	4.601	0
2005	276	3	1700	185.1	14.82	60.24	3.843	0
2005	276	3	1800	12.79	12.48	69.72	2.047	0
2005	276	3	1900	-0.1	10.4	77.1	1.503	0
2005	276	3	2000	-0.02	10.07	80.7	2.035	0
2005	276	3	2100	-0.01	9.98	82.1	2.487	0
2005	276	3	2200	0	9.57	90.6	2.021	0
2005	276	3	2300	0	9.34	94.3	2.017	0
