plant,phytomer,lesion,memory
1,1,5,53.732017517089844
1,1,10,71.07952880859375
1,5,1,78.97405242919922
1,1,1,22.158042907714844
1,1,2,20.740280151367188
1,1,3,34.332778930664055
1,3,1,42.96612548828125
1,3,2,97.05835723876952
2,1,1,51.774009704589844
2,1,2,106.9139633178711
2,1,3,142.03794860839844
2,3,1,100.18649291992188
3,1,1,82.1990966796875
3,1,2,165.73113250732422
3,1,3,139.4386215209961
3,1,5,164.53215789794922
3,1,10,300.9186630249024
1,4,1,67.65398406982422
1,5,1,65.94148254394531
1,6,1,141.6154556274414
